,頁數,序號,標題,品牌,地址,價格(萬),更新頻率,瀏覽次數
0,1,0,M-Benz A180 2013款 1.6L,M-Benz,桃園市,28.0,7天前更新,867
1,1,1,M-Benz A45 AMG 2014款 2.0L,M-Benz,新北市,51.0,7天前更新,"<span class=""Red"">1834</span>"
2,1,2,M-Benz A180 2017款 1.6L,M-Benz,桃園市,69.6,7天前更新,"<span class=""Red"">2435</span>"
3,1,3,M-Benz A250 2021款 2.0L,M-Benz,台中市,215.8,<font>8小時內更新</font>,873
4,1,4,M-Benz A180 2016款 1.6L,M-Benz,桃園市,96.0,<font>4小時內更新</font>,583
5,1,5,M-Benz A180 2017款 1.6L,M-Benz,桃園市,72.8,<font>5天內刊登</font>,216
6,1,6,M-Benz A180 2016款 1.6L,M-Benz,台北市,69.8,7天前更新,"<span class=""Red"">2026</span>"
7,1,7,M-Benz A250 2019款 2.0L,M-Benz,高雄市,168.0,<font>2小時內更新</font>,33
8,1,8,M-Benz AMG A 35 4Matic 2020款 2.0L,M-Benz,台中市,228.8,<font>3小時內更新</font>,955
9,1,9,M-Benz A250 2019款 2.0L,M-Benz,新北市,133.0,<font>4小時內更新</font>,651
10,1,10,M-Benz A250 2019款 2.0L,M-Benz,高雄市,153.0,<font>5小時內更新</font>,831
11,1,11,M-Benz AMG A 35 4Matic 2022款 2.0L,M-Benz,桃園市,0.0,<font>6小時內刊登</font>,13
12,1,12,M-Benz A180 2016款 1.6L,M-Benz,桃園市,79.8,<font>7小時內更新</font>,746
13,1,13,M-Benz A250 2014款 2.0L,M-Benz,台北市,86.8,<font>3天內更新</font>,"<span class=""Red"">1251</span>"
14,1,14,M-Benz A180 2016款 1.6L,M-Benz,新北市,82.8,<font>7天內刊登</font>,52
15,1,15,M-Benz A200 2015款 1.6L,M-Benz,台中市,79.8,7天前更新,166
16,1,16,M-Benz A180 2013款 1.6L,M-Benz,台中市,68.0,7天前更新,197
17,1,17,M-Benz A180 2023款 1.3L,M-Benz,台北市,0.0,7天前更新,795
18,1,18,M-Benz AMG A 35 4Matic 2020款 2.0L,M-Benz,台北市,178.0,7天前更新,648
19,1,19,M-Benz A250 2013款 2.0L,M-Benz,台中市,79.8,7天前更新,498
20,1,20,M-Benz A200 2019款 1.3L,M-Benz,台北市,0.0,7天前更新,104
21,1,21,M-Benz A250 2018款 2.0L,M-Benz,台中市,150.0,7天前更新,268
22,1,22,M-Benz A250 2019款 2.0L,M-Benz,桃園市,163.8,7天前更新,287
23,1,23,M-Benz A180 2018款 1.6L,M-Benz,台中市,0.0,<font>6分鐘內更新</font>,337
24,1,24,M-Benz A45 AMG 2014款 2.0L,M-Benz,桃園市,105.8,<font>10分鐘內更新</font>,105
25,1,25,M-Benz A180 2021款 1.3L,M-Benz,台中市,135.8,<font>10分鐘內更新</font>,456
26,1,26,M-Benz A180 2017款 1.6L,M-Benz,新北市,60.0,<font>20分鐘內更新</font>,84
27,1,27,M-Benz A180 2017款 1.6L,M-Benz,桃園市,73.8,<font>28分鐘內更新</font>,45
28,1,28,M-Benz A250 2019款 2.0L,M-Benz,桃園市,145.0,<font>30分鐘內更新</font>,187
29,1,29,M-Benz A180 2017款 1.6L,M-Benz,桃園市,69.8,<font>36分鐘內更新</font>,"<span class=""Red"">3299</span>"
30,1,30,M-Benz A250 2020款 2.0L,M-Benz,桃園市,179.0,<font>44分鐘內更新</font>,350
31,1,31,M-Benz A180 2017款 1.6L,M-Benz,新北市,68.8,<font>47分鐘內更新</font>,350
32,1,32,M-Benz A180 2013款 1.6L,M-Benz,桃園市,49.8,<font>47分鐘內更新</font>,593
33,1,33,M-Benz A45 AMG 2014款 2.0L,M-Benz,桃園市,103.0,<font>50分鐘內更新</font>,"<span class=""Red"">1203</span>"
34,1,34,M-Benz A180 2021款 1.3L,M-Benz,台中市,0.0,<font>53分鐘內更新</font>,262
35,1,35,M-Benz A180 2021款 1.3L,M-Benz,台中市,135.8,<font>57分鐘內更新</font>,"<span class=""Red"">4105</span>"
36,1,36,M-Benz A180 2016款 1.6L,M-Benz,桃園市,60.0,<font>57分鐘內更新</font>,"<span class=""Red"">2129</span>"
37,1,37,M-Benz A180 2016款 1.6L,M-Benz,台中市,74.8,<font>58分鐘內更新</font>,"<span class=""Red"">7670</span>"
38,1,38,M-Benz A45 AMG 2014款 2.0L,M-Benz,桃園市,99.8,<font>60分鐘內更新</font>,146
39,2,0,M-Benz A180 2017款 1.6L,M-Benz,桃園市,89.8,<font>60分鐘內更新</font>,"<span class=""Red"">1741</span>"
40,2,1,M-Benz A250 2014款 2.0L,M-Benz,桃園市,68.8,<font>60分鐘內更新</font>,36
41,2,2,M-Benz A180 2013款 1.6L,M-Benz,台中市,57.8,<font>60分鐘內更新</font>,"<span class=""Red"">2321</span>"
42,2,3,M-Benz A180 2020款 1.3L,M-Benz,台中市,126.0,<font>60分鐘內更新</font>,"<span class=""Red"">4325</span>"
43,2,4,M-Benz A250 2015款 2.0L,M-Benz,桃園市,68.8,<font>60分鐘內更新</font>,67
44,2,5,M-Benz A180 2014款 1.6L,M-Benz,桃園市,49.8,<font>60分鐘內更新</font>,641
45,2,6,M-Benz A250 2018款 2.0L,M-Benz,新北市,113.8,<font>60分鐘內更新</font>,777
46,2,7,M-Benz A180 2017款 1.6L,M-Benz,新北市,89.8,<font>2小時內更新</font>,"<span class=""Red"">1527</span>"
47,2,8,M-Benz A200 2015款 2.1L,M-Benz,台南市,68.8,<font>2小時內更新</font>,401
48,2,9,M-Benz A45S AMG 2021款 2.0L,M-Benz,新北市,278.0,<font>2小時內更新</font>,"<span class=""Red"">4414</span>"
49,2,10,M-Benz A250 2019款 2.0L,M-Benz,新竹市,149.8,<font>2小時內更新</font>,68
50,2,11,M-Benz A200 2015款 1.6L,M-Benz,新北市,66.0,<font>2小時內更新</font>,172
51,2,12,M-Benz A180 2021款 1.3L,M-Benz,台南市,139.0,<font>2小時內更新</font>,680
52,2,13,M-Benz A180 2020款 1.3L,M-Benz,台中市,0.0,<font>2小時內更新</font>,60
53,2,14,M-Benz A45S AMG 2013款 2.0L,M-Benz,桃園市,27.8,<font>2小時內更新</font>,"<span class=""Red"">1075</span>"
54,2,15,M-Benz A180 2017款 1.6L,M-Benz,桃園市,93.8,<font>2小時內更新</font>,36
55,2,16,M-Benz A200d 2014款 2.1L,M-Benz,桃園市,65.8,<font>2小時內更新</font>,185
56,2,17,M-Benz A45S AMG 2021款 2.0L,M-Benz,台北市,0.0,<font>2小時內更新</font>,"<span class=""Red"">1378</span>"
57,2,18,M-Benz A180 2017款 1.6L,M-Benz,新北市,74.8,<font>2小時內更新</font>,844
58,2,19,M-Benz A180 2016款 1.6L,M-Benz,桃園市,62.8,<font>2小時內更新</font>,449
59,2,20,M-Benz A250 2015款 2.0L,M-Benz,桃園市,75.8,<font>2小時內更新</font>,20
60,2,21,M-Benz A45 AMG 2015款 2.0L,M-Benz,新北市,128.8,<font>2小時內更新</font>,471
61,2,22,M-Benz A180 2015款 1.6L,M-Benz,桃園市,75.0,<font>2小時內更新</font>,77
62,2,23,M-Benz A180 2016款 1.6L,M-Benz,桃園市,83.8,<font>2小時內更新</font>,64
63,2,24,M-Benz A250 2019款 2.0L,M-Benz,台中市,158.0,<font>3小時內更新</font>,581
64,2,25,M-Benz A180 2019款 1.3L,M-Benz,高雄市,126.8,<font>3小時內更新</font>,648
65,2,26,M-Benz A45S AMG 2021款 2.0L,M-Benz,桃園市,278.0,<font>3小時內更新</font>,861
66,2,27,M-Benz A180 2020款 1.3L,M-Benz,新北市,139.8,<font>3小時內更新</font>,189
67,2,28,M-Benz A250 2014款 2.0L,M-Benz,台北市,73.8,<font>3小時內更新</font>,7
68,2,29,M-Benz A180 2018款 1.6L,M-Benz,新北市,103.8,<font>3小時內更新</font>,314
69,2,30,M-Benz A250 2016款 2.0L,M-Benz,桃園市,102.8,<font>3小時內更新</font>,603
70,2,31,M-Benz A180 2022款 1.3L,M-Benz,新北市,155.0,<font>3小時內更新</font>,206
71,2,32,M-Benz A180 2017款 1.6L,M-Benz,新北市,63.8,<font>3小時內更新</font>,63
72,2,33,M-Benz A250 2019款 2.0L,M-Benz,桃園市,168.0,<font>3小時內更新</font>,580
73,2,34,M-Benz A220 2019款 2.0L,M-Benz,台中市,0.0,<font>3小時內刊登</font>,3
74,2,35,M-Benz A180 2017款 1.6L,M-Benz,桃園市,0.0,<font>3小時內刊登</font>,0
75,2,36,M-Benz A180 2017款 1.6L,M-Benz,新北市,93.8,<font>3小時內更新</font>,111
76,2,37,M-Benz A250 2014款 2.0L,M-Benz,台北市,77.8,<font>4小時內更新</font>,73
77,2,38,M-Benz A45S AMG 2020款 2.0L,M-Benz,台北市,0.0,<font>4小時內更新</font>,356
78,3,0,M-Benz A180 2017款 1.6L,M-Benz,新北市,63.8,<font>4小時內更新</font>,55
79,3,1,M-Benz A250 2019款 2.0L,M-Benz,桃園市,155.8,<font>4小時內更新</font>,98
80,3,2,M-Benz A180 2017款 1.6L,M-Benz,新北市,63.8,<font>4小時內更新</font>,44
81,3,3,M-Benz A180 2017款 1.6L,M-Benz,新北市,63.8,<font>4小時內更新</font>,82
82,3,4,M-Benz A250 2019款 2.0L,M-Benz,新北市,163.0,<font>5小時內更新</font>,28
83,3,5,M-Benz A180 2019款 1.3L,M-Benz,新北市,105.8,<font>5小時內更新</font>,"<span class=""Red"">1023</span>"
84,3,6,M-Benz A180 2022款 1.3L,M-Benz,嘉義縣,0.0,<font>5小時內刊登</font>,6
85,3,7,M-Benz A180 2019款 1.3L,M-Benz,桃園市,105.8,<font>5小時內更新</font>,622
86,3,8,M-Benz A250 2019款 2.0L,M-Benz,台南市,138.0,<font>5小時內更新</font>,322
87,3,9,M-Benz A250 2019款 2.0L,M-Benz,新北市,138.8,<font>5小時內刊登</font>,26
88,3,10,M-Benz A250 2016款 2.0L,M-Benz,桃園市,108.8,<font>5小時內更新</font>,243
89,3,11,M-Benz A180 2018款 1.6L,M-Benz,台中市,0.0,<font>5小時內更新</font>,36
90,3,12,M-Benz A250 2014款 2.0L,M-Benz,台北市,79.9,<font>5小時內更新</font>,942
91,3,13,M-Benz A250 2013款 2.0L,M-Benz,桃園市,69.8,<font>5小時內更新</font>,401
92,3,14,M-Benz A250 2019款 2.0L,M-Benz,台中市,165.8,<font>5小時內更新</font>,278
93,3,15,M-Benz A250 2019款 2.0L,M-Benz,桃園市,0.0,<font>5小時內刊登</font>,4
94,3,16,M-Benz A250 2021款 2.0L,M-Benz,台中市,199.8,<font>5小時內更新</font>,563
95,3,17,M-Benz A180 2016款 1.6L,M-Benz,新北市,63.8,<font>6小時內刊登</font>,2
96,3,18,M-Benz A200d 2013款 1.8L,M-Benz,桃園市,56.0,<font>6小時內更新</font>,315
97,3,19,M-Benz A200 2019款 1.3L,M-Benz,桃園市,128.8,<font>6小時內更新</font>,540
98,3,20,M-Benz A180 2017款 1.6L,M-Benz,桃園市,70.8,<font>6小時內更新</font>,"<span class=""Red"">1919</span>"
99,3,21,M-Benz A180 2014款 1.6L,M-Benz,桃園市,75.8,<font>6小時內更新</font>,457
100,3,22,M-Benz A250 2019款 2.0L,M-Benz,桃園市,0.0,<font>6小時內更新</font>,9
101,3,23,M-Benz A45 AMG 2014款 2.0L,M-Benz,桃園市,98.8,<font>7小時內更新</font>,552
102,3,24,M-Benz A180 2014款 1.6L,M-Benz,桃園市,58.8,<font>7小時內更新</font>,150
103,3,25,M-Benz A180 2016款 1.6L,M-Benz,桃園市,79.8,<font>7小時內更新</font>,549
104,3,26,M-Benz A250 2013款 2.0L,M-Benz,桃園市,0.0,<font>7小時內更新</font>,70
105,3,27,M-Benz A180 2016款 1.6L,M-Benz,桃園市,88.8,<font>7小時內更新</font>,221
106,3,28,M-Benz A180 2017款 1.6L,M-Benz,新北市,99.8,<font>7小時內更新</font>,365
107,3,29,M-Benz A180 2018款 1.6L,M-Benz,桃園市,100.0,<font>7小時內更新</font>,969
108,3,30,M-Benz A45 AMG 2014款 2.0L,M-Benz,桃園市,103.8,<font>7小時內更新</font>,181
109,3,31,M-Benz A45S AMG 2022款 2.0L,M-Benz,台中市,285.0,<font>7小時內更新</font>,806
110,3,32,M-Benz A180 2018款 1.6L,M-Benz,桃園市,69.8,<font>7小時內更新</font>,"<span class=""Red"">2218</span>"
111,3,33,M-Benz A45 AMG 2016款 2.0L,M-Benz,台北市,0.0,<font>8小時內刊登</font>,2
112,3,34,M-Benz A45 AMG 2015款 2.0L,M-Benz,桃園市,99.8,<font>9小時內更新</font>,144
113,3,35,M-Benz A180 2014款 1.6L,M-Benz,新北市,59.8,<font>11小時內更新</font>,16
114,3,36,M-Benz A250 2014款 2.0L,M-Benz,新北市,66.8,<font>20小時內更新</font>,"<span class=""Red"">2840</span>"
115,3,37,M-Benz A250 2019款 2.0L,M-Benz,新竹市,159.8,<font>22小時內刊登</font>,11
116,3,38,M-Benz A220 2019款 2.0L,M-Benz,桃園市,0.0,<font>22小時內更新</font>,182
117,4,0,M-Benz A250 2019款 2.0L,M-Benz,彰化縣,168.8,<font>2天內刊登</font>,5
118,4,1,M-Benz A180 2013款 1.6L,M-Benz,高雄市,69.5,<font>2天內刊登</font>,11
119,4,2,M-Benz A200d 2013款 1.8L,M-Benz,台北市,0.0,<font>2天內刊登</font>,5
120,4,3,M-Benz A180 2019款 1.3L,M-Benz,台北市,128.8,<font>2天內更新</font>,331
121,4,4,M-Benz A180 2016款 1.6L,M-Benz,台南市,82.8,<font>2天內更新</font>,348
122,4,5,M-Benz A250 2022款 2.0L,M-Benz,桃園市,0.0,<font>2天內刊登</font>,6
123,4,6,M-Benz A250 2019款 2.0L,M-Benz,新北市,158.8,<font>2天內刊登</font>,14
124,4,7,M-Benz A45S AMG 2020款 2.0L,M-Benz,桃園市,0.0,<font>2天內刊登</font>,18
125,4,8,M-Benz A250 2019款 2.0L,M-Benz,新北市,155.8,<font>2天內刊登</font>,10
126,4,9,M-Benz A250 2014款 2.0L,M-Benz,桃園市,65.0,<font>2天內更新</font>,29
127,4,10,M-Benz A250 2013款 2.0L,M-Benz,台北市,82.8,<font>2天內刊登</font>,6
128,4,11,M-Benz A250 2017款 2.0L,M-Benz,桃園市,94.8,<font>2天內更新</font>,16
129,4,12,M-Benz A180 2013款 1.6L,M-Benz,桃園市,50.0,<font>2天內更新</font>,365
130,4,13,M-Benz A250 2019款 2.0L,M-Benz,桃園市,155.0,<font>2天內更新</font>,203
131,4,14,M-Benz A45 AMG 2020款 2.0L,M-Benz,桃園市,185.0,<font>2天內刊登</font>,69
132,4,15,M-Benz A250 2013款 2.0L,M-Benz,彰化縣,82.8,<font>3天內刊登</font>,13
133,4,16,M-Benz AMG A 35 4Matic 2021款 2.0L,M-Benz,桃園市,228.0,<font>3天內刊登</font>,38
134,4,17,M-Benz AMG A 35 4Matic 2021款 2.0L,M-Benz,桃園市,228.0,<font>3天內刊登</font>,11
135,4,18,M-Benz A180 2014款 1.6L,M-Benz,新北市,57.0,<font>3天內更新</font>,564
136,4,19,M-Benz AMG A 35 4Matic 2020款 2.0L,M-Benz,高雄市,219.0,<font>3天內更新</font>,31
137,4,20,M-Benz A200 2019款 1.3L,M-Benz,台北市,139.0,<font>3天內刊登</font>,112
138,4,21,M-Benz A250 2022款 2.0L,M-Benz,新北市,198.0,<font>3天內刊登</font>,66
139,4,22,M-Benz A250 2023款 2.0L,M-Benz,新北市,198.0,<font>3天內刊登</font>,33
140,4,23,M-Benz A45 AMG 2016款 2.0L,M-Benz,高雄市,142.8,<font>3天內刊登</font>,46
141,4,24,M-Benz A250 2013款 2.0L,M-Benz,新北市,68.8,<font>3天內更新</font>,141
142,4,25,M-Benz A250 2019款 2.0L,M-Benz,桃園市,158.8,<font>3天內刊登</font>,13
143,4,26,M-Benz A250 2019款 2.0L,M-Benz,桃園市,168.8,<font>3天內刊登</font>,6
144,4,27,M-Benz A250 2018款 2.0L,M-Benz,台南市,159.0,<font>3天內刊登</font>,20
145,4,28,M-Benz A180 2016款 1.6L,M-Benz,新北市,68.8,<font>3天內更新</font>,764
146,4,29,M-Benz A180 2013款 1.6L,M-Benz,新北市,0.0,<font>4天內刊登</font>,5
147,4,30,M-Benz A180 2017款 1.6L,M-Benz,新北市,82.8,<font>4天內刊登</font>,10
148,4,31,M-Benz A200 2019款 1.3L,M-Benz,新竹市,126.8,<font>4天內刊登</font>,20
149,4,32,M-Benz A250 2019款 2.0L,M-Benz,屏東縣,178.8,<font>4天內刊登</font>,16
150,4,33,M-Benz A180 2016款 1.6L,M-Benz,桃園市,89.8,<font>4天內刊登</font>,45
151,4,34,M-Benz A200 2014款 1.6L,M-Benz,台南市,79.8,<font>4天內刊登</font>,8
152,4,35,M-Benz A250 2019款 2.0L,M-Benz,台南市,0.0,<font>4天內刊登</font>,16
153,4,36,M-Benz A250 2019款 2.0L,M-Benz,台北市,148.0,<font>4天內刊登</font>,35
154,4,37,M-Benz A180 2017款 1.6L,M-Benz,新北市,63.8,<font>4天內刊登</font>,17
155,4,38,M-Benz A180 2023款 1.3L,M-Benz,台南市,173.8,<font>4天內刊登</font>,253
156,5,0,M-Benz A180 2016款 1.6L,M-Benz,桃園市,83.8,<font>5天內刊登</font>,12
157,5,1,M-Benz A200 2014款 1.6L,M-Benz,桃園市,83.8,<font>5天內刊登</font>,16
158,5,2,M-Benz A180 2020款 1.3L,M-Benz,嘉義縣,118.8,<font>5天內刊登</font>,78
159,5,3,M-Benz A180 2014款 1.6L,M-Benz,新竹市,69.8,<font>5天內刊登</font>,11
160,5,4,M-Benz A180 2014款 1.6L,M-Benz,桃園市,49.8,<font>5天內更新</font>,592
161,5,5,M-Benz A180 2019款 1.3L,M-Benz,新竹市,139.8,<font>5天內更新</font>,"<span class=""Red"">3292</span>"
162,5,6,M-Benz A180 2016款 1.6L,M-Benz,桃園市,85.8,<font>5天內更新</font>,421
163,5,7,M-Benz A180 2014款 1.6L,M-Benz,桃園市,60.0,<font>6天內刊登</font>,34
164,5,8,M-Benz A250 2013款 1.6L,M-Benz,彰化縣,75.8,<font>6天內刊登</font>,28
165,5,9,M-Benz A250 2015款 2.0L,M-Benz,桃園市,78.8,<font>6天內刊登</font>,17
166,5,10,M-Benz A250 2018款 2.0L,M-Benz,新北市,0.0,<font>6天內刊登</font>,9
167,5,11,M-Benz A180 2015款 1.6L,M-Benz,桃園市,56.8,<font>6天內更新</font>,267
168,5,12,M-Benz A250 2019款 2.0L,M-Benz,桃園市,0.0,<font>6天內更新</font>,56
